"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Finglas, D.M.R. Western Division",59,44,51,70,60,65
" ","Fitzgibbon Street, D.M.R. North Central Division",90,52,37,35,46,64
" ","Foxford, Mayo Division",6,2,0,3,3,0
" ","Foynes, Limerick Division",1,0,1,3,1,0
" ","Frenchpark, Roscommon/Longford Division",1,0,2,0,1,2
" ","Freshford, Kilkenny/Carlow Division",0,0,1,0,1,1
" ","Gaillimh, Galway Division",104,116,97,110,118,106
" ","Garristown, D.M.R. Northern Division",0,0,1,3,3,0
" ","Glanmire, Cork City Division",16,15,13,10,6,16
" ","Glantaine, Cork North Division",0,1,1,0,1,0
" ","Glasson, Westmeath Division",0,1,0,1,0,1
" ","Gleann na Muaidhe, Mayo Division",0,0,1,0,1,0
" ","Glenamaddy, Galway Division",0,1,0,0,1,2
" ","Glenbeigh, Kerry Division",0,1,0,0,0,1
" ","Glengarriff, Cork West Division",0,0,1,0,1,1
" ","Glenmore, Kilkenny/Carlow Division",1,0,0,0,1,1
" ","Glin, Limerick Division",0,1,0,3,0,1
" ","Glynn, Wexford Division",1,0,0,0,1,0
" ","Gob an Choire, Mayo Division",2,0,2,1,0,1
" ","Golden, Tipperary Division",1,0,0,0,1,0
" ","Goresbridge, Kilkenny/Carlow Division",2,2,0,0,0,0
" ","Gorey, Wexford Division",17,16,13,11,16,16
" ","Gort, Galway Division",12,8,4,2,7,2
" ","Graiguenamanagh, Kilkenny/Carlow Division",0,1,0,5,2,0
" ","Granard, Roscommon/Longford Division",6,5,1,7,5,4
" ","Grange, Sligo/Leitrim Division",6,1,2,1,0,5
" ","Greystones, Wicklow Division",13,9,21,31,22,36
" ","Gurranabraher, Cork City Division",26,15,12,10,13,11
" ","Gurteen, Sligo/Leitrim Division",0,0,2,2,3,1
" ","Hackballscross, Louth Division",0,2,3,1,2,0
" ","Hacketstown, Kilkenny/Carlow Division",2,1,0,2,0,0
" ","Headford, Galway Division",2,0,1,4,2,4
" ","Henry Street, Limerick Division",64,54,83,65,82,75
" ","Holycross, Tipperary Division",2,1,1,0,0,1
" ","Hospital Co Limerick, Limerick Division",2,2,3,0,0,2
" ","Howth, D.M.R. Northern Division",13,6,14,35,18,23
" ","Indreabhain, Galway Division",3,1,1,2,0,2
" ","Innishannon, Cork West Division",2,2,0,0,0,0
" ","Irishtown, D.M.R. South Central Division",15,20,30,32,40,39
" ","Kanturk, Cork North Division",8,13,4,6,4,6
" ","Keadue, Roscommon/Longford Division",0,0,0,0,1,1
" ","Kealkil, Cork West Division",0,0,0,0,0,0
" ","Keel, Mayo Division",0,0,2,0,0,0
" ","Kells Ceanannus Mor, Meath Division",20,24,14,9,13,9
" ","Kenagh, Roscommon/Longford Division",0,0,1,1,1,0
" ","Kenmare, Kerry Division",3,5,4,4,5,2
" ","Kerrykeel, Donegal Division",2,3,0,0,0,1
" ","Kevin Street, D.M.R. South Central Division",61,59,78,74,88,75
" ","Kilbeggan, Westmeath Division",2,2,0,1,5,2
" ","Kilbrittain, Cork West Division",0,0,0,2,1,2
" ","Kilcock, Kildare Division",8,8,6,7,18,7
" ","Kilconnell, Galway Division",2,0,0,0,2,0
" ","Kilcormac, Laois/Offaly Division",0,2,1,1,0,0
" ","Kilcullen, Kildare Division",6,5,2,5,5,3
" ","Kildare, Kildare Division",16,16,19,23,7,9
" ","Kildorrery, Cork North Division",2,2,2,1,1,2
" ","Kildysart, Clare Division",1,0,1,0,0,0
" ","Kilkee, Clare Division",7,5,6,4,3,2
" ","Kilkelly, Mayo Division",0,0,0,4,0,0
" ","Kilkenny, Kilkenny/Carlow Division",39,39,56,35,49,48
" ","Kill, Co Waterford, Waterford Division",0,1,0,0,0,0
" ","Killala, Mayo Division",1,3,1,0,4,1
" ","Killaloe, Clare Division",10,8,5,6,3,5
" ","Killarney, Kerry Division",21,23,14,27,15,21
" ","Killeagh, Cork North Division",2,1,3,0,3,3
" ","Killenaule, Tipperary Division",0,1,1,0,1,0
" ","Killeshandra, Cavan/Monaghan Division",1,0,4,2,1,1
" ","Killimor, Galway Division",0,1,0,0,0,2
" ","Killorglin, Kerry Division",6,3,1,1,5,1
" ","Killucan, Westmeath Division",3,2,3,2,20,1
" ","Kilmacow, Kilkenny/Carlow Division",1,0,1,0,1,1
" ","Kilmacrennan, Donegal Division",0,0,3,2,1,1
" ","Kilmacthomas, Waterford Division",0,0,2,1,0,0
" ","Kilmaine, Mayo Division",0,0,1,0,0,1
" ","Kilmainham, D.M.R. South Central Division",56,50,45,47,71,41
" ","Kilmallock, Limerick Division",12,9,6,6,3,6
" ","Kilmeaden, Waterford Division",2,1,5,0,2,1
" ","Kilmoganny, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Kilmore Quay, Wexford Division",0,0,2,1,1,1
" ","Kilnaleck, Cavan/Monaghan Division",1,1,3,3,7,7
" ","Kilrickle, Galway Division",1,1,2,0,7,0
" ","Kilrush, Clare Division",15,6,3,1,7,4
" ","Kilsheelan, Tipperary Division",0,0,1,1,0,0
" ","Kiltimagh, Mayo Division",1,0,0,4,9,1
" ","Kiltormer, Galway Division",0,0,0,0,0,0
" ","Kilworth, Cork North Division",1,1,2,0,3,1
" ","Kingscourt, Cavan/Monaghan Division",3,1,5,3,9,2
" ","Kinlough, Sligo/Leitrim Division",1,0,2,0,2,1
" ","Kinnegad, Westmeath Division",1,2,5,1,4,3
" ","Kinnitty, Laois/Offaly Division",1,0,1,0,0,1
" ","Kinsale, Cork West Division",8,7,4,8,12,13
" ","Kinvara, Galway Division",2,2,2,2,0,2
" ","Knock, Mayo Division",0,0,1,2,0,3
" ","Knocknagoshel, Kerry Division",0,0,1,0,0,0
" ","Lanesboro, Roscommon/Longford Division",0,3,3,4,5,5
" ","Laytown, Meath Division",6,8,17,13,14,12
" ","Leach Seoirse, Galway Division",3,14,6,6,10,6
" ","Leamybrien, Waterford Division",0,0,0,0,0,1
" ","Leitir Mor, Galway Division",0,0,0,0,0,0
" ","Leixlip, Kildare Division",6,7,8,14,23,8
" ","Letterfrack, Galway Division",4,1,1,0,1,0
" ","Letterkenny, Donegal Division",57,55,60,43,49,50
" ","Lifford, Donegal Division",6,4,1,8,12,11
" ","Liscarroll, Cork North Division",0,0,0,0,0,0
" ","Lisdoonvarna, Clare Division",3,0,0,0,0,0
" ","Lismore, Waterford Division",0,2,3,1,1,3
" ","Lissycasey, Clare Division",1,0,5,1,0,1
" ","Listowel, Kerry Division",7,7,4,8,5,2
" ","Littleton, Tipperary Division",0,0,2,1,0,1
" ","Lixnaw, Kerry Division",1,3,2,0,1,0
" ","Longford, Roscommon/Longford Division",25,32,36,32,35,31
" ","Longwood, Meath Division",1,2,1,2,0,0
" ","Lorrha, Tipperary Division",1,0,0,1,0,1
" ","Loughrea, Galway Division",25,10,15,19,25,9
" ","Louisburgh, Mayo Division",0,2,0,0,1,1
" ","Louth, Louth Division",1,2,3,0,1,0
" ","Lucan, D.M.R. Western Division",27,35,43,46,82,52
" ","Lusk, D.M.R. Northern Division",11,10,11,7,15,8
" ","Macroom, Cork West Division",11,7,7,8,11,5
" ","Maigh Cuilinn, Galway Division",2,0,1,4,3,0
" ","Malahide, D.M.R. Northern Division",27,28,27,38,27,17
" ","Mallow, Cork North Division",18,10,18,14,17,16
" ","Manorhamilton, Sligo/Leitrim Division",8,1,1,2,5,7
" ","Mayfield, Cork City Division",11,6,3,9,28,9
" ","Maynooth, Kildare Division",10,10,14,12,19,13
" ","Mayorstone Park, Limerick Division",22,34,29,20,18,25
" ","Midleton, Cork North Division",19,15,17,20,17,15
" ","Milford, Co Cork, Cork North Division",0,0,0,0,0,0
" ","Milford, Co Donegal, Donegal Division",5,3,1,1,2,2
" ","Millstreet, Co. Cork, Cork West Division",0,1,2,1,2,1
" ","Milltown, Galway Division",0,1,1,5,2,0
" ","Miltown Malbay, Clare Division",4,1,1,0,1,1
" ","Mitchelstown, Cork North Division",11,7,7,6,9,10
" ","Moate, Westmeath Division",3,1,3,2,7,8
" ","Mohill, Sligo/Leitrim Division",3,4,1,4,1,0
" ","Monaghan, Cavan/Monaghan Division",55,27,33,28,17,25
" ","Monasterevin, Kildare Division",8,3,2,5,10,4
" ","Moneygall, Tipperary Division",1,0,0,0,0,1
" ","Monivea, Galway Division",0,0,0,0,0,1
" ","Mooncoin, Kilkenny/Carlow Division",0,1,0,3,2,0
" ","Mountbellew, Galway Division",6,3,3,3,2,3
" ","Mountcharles, Donegal Division",1,0,1,0,0,0
" ","Mountjoy, D.M.R. North Central Division",61,59,58,89,100,99
" ","Mountmellick, Laois/Offaly Division",8,9,3,5,4,3
" ","Mountrath, Laois/Offaly Division",1,5,2,5,3,0
" ","Moville, Donegal Division",6,7,6,5,2,3
" ","Moylough, Galway Division",7,4,0,0,1,1
" ","Moyne, Tipperary Division",0,1,0,0,0,0
" ","Muff, Donegal Division",4,3,2,2,4,1
" ","Muine Bheag, Kilkenny/Carlow Division",10,5,2,5,6,2
" ","Mullagh, Cavan/Monaghan Division",2,0,4,3,1,1
" ","Mullinahone, Tipperary Division",0,0,1,2,2,1
" ","Mullinavat, Kilkenny/Carlow Division",0,0,1,0,1,0
" ","Mullingar, Westmeath Division",41,46,40,36,48,30
" ","Multyfarnham, Westmeath Division",0,0,0,3,2,0
" ","Murroe, Limerick Division",2,0,2,2,0,2
" ","Myshall, Kilkenny/Carlow Division",0,0,1,1,0,0
" ","Na Cealla Beaga, Donegal Division",2,13,3,1,5,2
" ","Na Gleannta, Donegal Division",2,1,2,0,0,1
" ","Naas, Kildare Division",63,49,36,52,43,46
" ","Navan, Meath Division",32,27,24,26,28,23
" ","Nenagh, Tipperary Division",11,16,18,18,16,15
" ","New Ross, Wexford Division",7,23,15,12,15,15
" ","Newbridge, Kildare Division",15,30,24,24,21,8
" ","Newcastle West, Limerick Division",8,16,8,9,9,21
" ","Newmarket on Fergus, Clare Division",2,1,0,0,0,0
" ","Newmarket, Cork North Division",3,3,0,0,3,1
" ","Newport, Co Mayo, Mayo Division",2,1,1,1,2,1
" ","Newport, Co Tipperary, Tipperary Division",1,1,4,6,2,3
" ","Newtowncunningham, Donegal Division",3,3,1,3,0,1
" ","Newtownmountkennedy, Wicklow Division",7,3,1,1,5,6
" ","Nobber, Meath Division",0,1,5,1,1,0
" ","Oldcastle, Meath Division",1,6,4,5,2,1
" ","Omeath, Louth Division",1,1,0,2,1,1
" ","Oola, Limerick Division",1,1,0,0,0,0
" ","Oughterard, Galway Division",1,0,2,5,1,2
" ","Oulart, Wexford Division",2,2,2,1,1,2
" ","Oylegate, Wexford Division",1,0,1,1,0,0
" ","Pallasgreen, Limerick Division",1,0,3,2,0,0
" ","Pallaskenry, Limerick Division",0,2,0,0,2,3
" ","Partry, Mayo Division",2,1,2,0,0,0
" ","Passage East, Waterford Division",0,0,1,0,1,0
" ","Passage West, Cork City Division",3,1,1,2,2,2
" ","Patrickswell, Limerick Division",3,1,4,0,0,0
" ","Pearse Street, D.M.R. South Central Division",273,219,263,271,327,247
" ","Pettigo, Donegal Division",0,1,0,0,0,0
" ","Piltown, Kilkenny/Carlow Division",0,0,0,1,5,0
" ","Portarlington, Laois/Offaly Division",8,5,4,11,6,13
" ","Portlaoise, Laois/Offaly Division",36,47,27,43,35,55
" ","Portlaw, Waterford Division",0,1,1,0,0,1
" ","Portmagee, Kerry Division",0,1,0,0,0,1
" ","Portroe, Tipperary Division",0,1,0,0,0,0
" ","Portumna, Galway Division",1,1,1,2,2,8
" ","Raheny, D.M.R. Northern Division",14,24,12,31,26,15
" ","Ramelton, Donegal Division",0,0,0,1,1,1
" ","Raphoe, Donegal Division",2,4,7,2,2,5
" ","Rathangan, Kildare Division",2,4,5,2,2,0
" ","Rathcoole, D.M.R. Western Division",5,7,11,11,11,3
" ","Rathcormac, Co Cork, Cork North Division",5,4,0,3,1,3
" ","Rathdowney, Laois/Offaly Division",4,2,0,4,1,0
" ","Rathdrum, Wicklow Division",3,3,1,3,3,3
" ","Rathfarnham, D.M.R. Southern Division",77,46,45,65,59,35
" ","Rathgormack, Co Waterford, Waterford Division",1,1,1,0,1,0
" ","Rathkeale, Limerick Division",5,5,6,4,2,4
" ","Rathmines, D.M.R. Southern Division",42,33,34,60,44,50
" ","Rathmore, Co Kerry, Cork West Division",1,1,4,0,0,1
" ","Rathmullen, Donegal Division",1,0,0,1,0,1
" ","Rathvilly, Kilkenny/Carlow Division",0,1,0,0,1,1
" ","Rhode, Laois/Offaly Division",1,1,0,2,0,0
" ","Riverstown, Sligo/Leitrim Division",1,2,3,3,0,1
" ","Robertstown, Kildare Division",3,2,2,2,0,1
" ","Rochfortbridge, Westmeath Division",2,1,2,2,2,7
" ","Rockcorry, Cavan/Monaghan Division",1,0,0,0,1,0
" ","Ronanstown, D.M.R. Western Division",21,25,35,49,69,42
" ","Roosky, Roscommon/Longford Division",3,0,1,1,0,1
" ","Ros Muc, Galway Division",0,0,0,0,0,1
" ","Roscommon, Roscommon/Longford Division",17,9,19,10,28,18
" ","Roscrea, Tipperary Division",10,10,13,5,21,8
" ","Rosscarbery, Cork West Division",0,1,0,1,0,2
" ","Rosses Point, Sligo/Leitrim Division",0,1,1,1,0,2
" ","Rosslare Harbour, Wexford Division",3,3,2,12,13,12
" ","Rosslare Strand, Wexford Division",5,1,1,2,2,2
" ","Roundwood, Wicklow Division",0,0,2,2,5,3
" ","Roxboro Road, Limerick Division",75,44,43,53,42,51
" ","Santry, D.M.R. Northern Division",44,37,56,48,53,51
" ","Scariff, Clare Division",0,0,1,0,0,0
" ","Schull, Cork West Division",2,2,1,2,0,1
" ","Scotstown, Cavan/Monaghan Division",0,0,0,0,1,0
" ","Shankill, D.M.R. Eastern Division",15,11,17,20,25,10
" ","Shannon, Clare Division",18,15,16,9,11,10
" ","Shercock, Cavan/Monaghan Division",5,2,0,2,2,0
" ","Shevry, Tipperary Division",2,0,1,0,1,0
" ","Shillelagh, Wicklow Division",0,0,0,1,0,0
" ","Shinrone, Laois/Offaly Division",0,0,2,0,3,2
" ","Shrule, Mayo Division",1,0,0,2,1,1
" ","Sixmilebridge, Clare Division",2,3,1,0,2,2
" ","Skerries, D.M.R. Northern Division",4,7,6,11,11,6
" ","Skibbereen, Cork West Division",3,2,2,1,6,20
" ","Skreen, Sligo/Leitrim Division",0,2,0,0,0,0
" ","Slane, Meath Division",0,1,1,0,1,4
" ","Sligo, Sligo/Leitrim Division",59,63,42,54,33,41
" ","Smear, Roscommon/Longford Division",0,0,0,1,1,0
" ","Sneem, Kerry Division",2,0,1,0,0,1
" ","Sraith Salach, Galway Division",0,0,0,1,0,0
" ","Stoneyford, Kilkenny/Carlow Division",0,0,0,0,1,1
" ","Store Street, D.M.R. North Central Division",203,200,214,214,223,168
" ","Stradbally Co Laois, Laois/Offaly Division",1,1,2,5,2,4
" ","Strokestown, Roscommon/Longford Division",1,0,3,0,1,3
" ","Stuake, Cork West Division",0,0,1,0,1,2
" ","Summerhill, Meath Division",0,2,2,2,4,0
" ","Sundrive Road, D.M.R. Southern Division",23,29,27,21,32,18
" ","Swanlinbar, Cavan/Monaghan Division",0,1,2,0,0,0
" ","Swinford, Mayo Division",3,4,4,7,1,2
" ","Swords, D.M.R. Northern Division",80,70,64,68,77,52
" ","Taghmon, Wexford Division",1,2,2,1,0,2
" ","Tallaght, D.M.R. Southern Division",104,80,111,77,86,69
" ","Tallow, Waterford Division",0,1,0,0,1,0
" ","Tarbert, Kerry Division",1,0,0,1,0,1
" ","Tarelton, Cork West Division",2,0,3,0,1,0
" ","Taughmaconnell, Roscommon/Longford Division",0,0,0,1,0,0
" ","Templederry, Tipperary Division",0,0,0,0,0,0
" ","Templemore, Tipperary Division",4,2,3,7,1,3
" ","Templetuohy, Tipperary Division",0,0,0,0,1,0
" ","Terenure, D.M.R. Southern Division",30,34,42,32,24,35
" ","Thomastown, Kilkenny/Carlow Division",3,7,4,7,6,4
" ","Thurles, Tipperary Division",6,20,18,12,8,10
" ","Timoleague, Cork West Division",1,0,1,0,0,2
" ","Tinahely, Wicklow Division",1,0,0,1,2,0
" ","Tipperary, Tipperary Division",6,9,19,12,16,7
" ","Togher, Cork City Division",22,21,14,18,5,17
" ","Toomevara, Tipperary Division",1,1,1,0,0,0
" ","Tralee, Kerry Division",47,41,44,48,45,27
" ","Tramore, Waterford Division",12,11,7,4,5,7
" ","Trim, Meath Division",22,28,15,23,17,9
" ","Tuam, Galway Division",11,19,16,10,12,19
" ","Tubbercurry, Sligo/Leitrim Division",2,4,7,1,5,5
" ","Tulla, Clare Division",4,0,5,0,2,1
" ","Tullamore, Laois/Offaly Division",39,38,42,35,27,32
" ","Tullow, Kilkenny/Carlow Division",6,4,4,3,5,1
" ","Tulsk, Roscommon/Longford Division",2,0,3,1,1,2
" ","Urlingford, Kilkenny/Carlow Division",5,1,2,2,0,3
" ","Virginia, Cavan/Monaghan Division",3,3,8,1,0,3
" ","Watercourse Road, Cork City Division",55,29,23,26,27,25
" ","Waterford, Waterford Division",85,79,67,73,83,63
" ","Watergrasshill, Cork North Division",2,0,1,0,0,2
" ","Westport, Mayo Division",11,11,12,9,8,9
" ","Wexford, Wexford Division",31,30,28,33,35,50
" ","Whitegate, Cork North Division",1,0,0,0,3,2
" ","Wicklow, Wicklow Division",19,27,18,66,37,24
" ","Williamstown, Galway Division",1,0,1,0,1,0
" ","Woodford, Galway Division",1,0,1,1,0,1
" ","Youghal, Cork North Division",9,10,8,5,14,6
"10 ,Controlled drug offences"
" ","Abbeyfeale, Limerick Division",15,8,5,9,4,6
" ","Abbeyleix, Laois/Offaly Division",17,11,16,9,4,2
" ","Adare, Limerick Division",1,0,0,1,1,1
" ","Aglish, Waterford Division",2,4,1,2,0,0
" ","Ahascragh, Galway Division",2,2,0,1,1,2
" ","Ailt an Chorraiin, Donegal Division",0,4,0,0,0,0
" ","An Bun Beag, Donegal Division",3,5,1,3,2,1
" ","An Charraig, Donegal Division",2,0,1,1,0,0
" ","An Cheathru Rua, Galway Division",4,1,4,0,0,0
" ","An Clochain Liath, Donegal Division",2,6,3,1,2,0
" ","An Coirean, Kerry Division",1,0,7,0,1,15
" ","An Craoslach, Donegal Division",0,0,0,0,0,0
" ","An Fail Carrach, Donegal Division",3,3,5,4,0,5
" ","An Maim, Galway Division",0,0,1,1,0,20
" ","An Rinn, Waterford Division",3,1,0,2,2,1
" ","An Spideal, Galway Division",2,4,1,2,2,0
" ","Anglesea Street, Cork City Division",187,184,125,215,133,94
" ","Annascaul, Kerry Division",0,2,0,0,0,0
" ","Aran More, Galway Division",23,28,36,21,24,13
" ","Ard an Raitha, Donegal Division",1,0,0,2,0,1
" ","Ardee, Louth Division",7,8,15,9,12,9
" ","Ardfert, Kerry Division",11,9,7,10,5,6
" ","Ardfinnan, Tipperary Division",3,17,6,10,8,3
" ","Ardmore, Waterford Division",1,9,5,6,0,2
" ","Ardnacrusha, Limerick Division",17,20,24,14,13,8
" ","Ardrahan, Galway Division",4,3,0,1,4,1
" ","Arklow, Wicklow Division",142,137,91,93,80,91
" ","Arles, Laois/Offaly Division",1,4,1,2,3,2
" ","Arva, Cavan/Monaghan Division",4,1,0,0,1,0
" ","Ashbourne, Meath Division",67,173,47,52,51,12
" ","Ashford, Wicklow Division",59,84,58,44,47,23
" ","Askeaton, Limerick Division",6,5,4,0,2,8
" ","Athea, Limerick Division",2,2,2,2,0,3
" ","Athenry, Galway Division",5,4,6,8,12,2
" ","Athleague, Roscommon/Longford Division",0,0,2,2,4,2
" ","Athlone, Westmeath Division",144,200,143,119,119,58
" ","Athy, Kildare Division",40,38,30,27,30,31
" ","Aughrim, Wicklow Division",17,8,2,4,4,10
" ","Avoca, Wicklow Division",11,4,3,4,1,0
" ","Baile AÅtha Bui, Meath Division",6,2,13,6,5,6
" ","Baile an FheirtÈaraigh, Kerry Division",0,0,0,1,0,0
" ","Baile Bhuirne, Cork West Division",3,2,0,3,1,1
" ","Bailieboro, Cavan/Monaghan Division",22,17,11,13,52,26
" ","Balbriggan, D.M.R. Northern Division",126,102,115,113,100,64
" ","Balla, Mayo Division",0,0,1,1,2,2
" ","Ballaghderreen, Roscommon/Longford Division",7,5,6,7,13,13
" ","Ballina, Mayo Division",61,43,45,40,36,18
" ","Ballinagh, Cavan/Monaghan Division",1,1,4,1,3,3
" ","Ballinamore, Sligo/Leitrim Division",5,0,0,1,0,1
" ","Ballinasloe, Galway Division",51,28,39,29,45,34
" ","Ballincollig, Cork City Division",105,60,48,32,53,65
" ","Ballindine, Mayo Division",0,0,0,0,0,1
" ","Ballineen, Cork West Division",1,14,8,8,9,3
" ","Ballingarry North, Tipperary Division",0,0,0,0,0,0
" ","Ballingarry South, Tipperary Division",1,4,2,3,3,1
" ","Ballingarry, Limerick Division",5,2,1,7,5,0
" ","Ballinhassig, Cork West Division",18,21,31,16,14,12
" ","Ballinlough, Roscommon/Longford Division",1,0,1,2,1,3
" ","Ballinrobe, Mayo Division",7,11,2,3,12,8
" ","Ballintra, Donegal Division",5,19,6,8,1,3
" ","Ballivor, Meath Division",3,2,5,0,6,5
" ","Ballon, Kilkenny/Carlow Division",0,1,26,3,2,4
" ","Ballybay, Cavan/Monaghan Division",4,0,2,9,1,3
" ","Ballybofey, Donegal Division",18,11,15,17,7,11
" ","Ballybunion, Kerry Division",23,17,9,5,4,1
" ","Ballyconnell, Cavan/Monaghan Division",3,2,3,5,4,4
" ","Ballycotton, Cork North Division",8,12,5,1,1,0
" ","Ballycroy, Mayo Division",0,0,0,0,0,0
" ","Ballycullane, Wexford Division",2,6,6,12,7,5
" ","Ballydehob, Cork West Division",12,2,4,7,11,13
" ","Ballydesmond, Cork West Division",0,0,0,2,0,0
" ","Ballyduff,  Co. Kerry, Kerry Division",0,2,1,2,0,2
" ","Ballyfermot, D.M.R. Western Division",491,460,401,327,320,244
" ","Ballygar, Galway Division",0,0,0,0,1,0
" ","Ballyhale, Kilkenny/Carlow Division",4,0,4,2,2,4
" ","Ballyhaunis, Mayo Division",4,8,9,7,8,5
" ","Ballyheigue, Kerry Division",2,4,2,2,2,3
" ","Ballyjamesduff, Cavan/Monaghan Division",4,8,5,9,6,3
" ","Ballylanders, Limerick Division",5,5,5,1,0,2
" ","Ballylinan, Laois/Offaly Division",4,3,1,2,3,2
" ","Ballymacarberry, Waterford Division",3,1,0,0,1,0
" ","Ballymahon, Roscommon/Longford Division",2,1,4,6,1,4
" ","Ballymore, Westmeath Division",0,0,0,0,0,1
" ","Ballymote, Sligo/Leitrim Division",5,5,8,13,6,13
" ","Ballymun, D.M.R. Northern Division",290,271,349,230,271,267
" ","Ballynacargy, Westmeath Division",2,0,1,3,1,0
" ","Ballyneety, Limerick Division",2,6,14,1,2,2
" ","Ballynoe, Cork North Division",1,0,1,3,1,1
" ","Ballyporeen, Tipperary Division",3,1,2,1,1,1
" ","Ballyshannon, Donegal Division",62,88,94,69,45,34
" ","Ballyvaughan, Clare Division",1,0,0,0,0,0
" ","Baltimore, Cork West Division",0,0,1,4,1,0
" ","Baltinglass, Wicklow Division",14,20,28,13,15,9
" ","Banagher, Laois/Offaly Division",2,6,1,2,2,4
" ","Bandon, Cork West Division",162,138,69,39,32,30
" ","Bangor Erris, Mayo Division",3,4,0,2,1,0
" ","Bansha, Tipperary Division",7,3,4,2,0,3
" ","Bantry, Cork West Division",33,15,31,32,29,22
" ","Barnaderg, Galway Division",0,0,1,0,0,1
" ","Barraduff, Kerry Division",1,0,0,1,1,0
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",6,0,0,12,0,0
" ","BÈal an Mhuirthead, Mayo Division",3,6,3,0,7,0
" ","Belturbet, Cavan/Monaghan Division",2,0,1,8,2,7
" ","Bennettsbridge, Kilkenny/Carlow Division",5,5,3,1,1,4
" ","Birr,  Laois/Offaly Division",50,46,33,19,13,12
" ","Bishopstown, Cork City Division",75,66,35,35,45,30
" ","Blacklion, Cavan/Monaghan Division",4,12,18,17,3,0
" ","Blackrock, Co Cork, Cork City Division",81,74,69,43,40,68
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",90,84,75,60,39,40
" ","Blackrock, Co Louth, Louth Division",2,2,5,15,5,2
" ","Blackwater, Wexford Division",9,5,11,9,3,7
" ","Blanchardstown, D.M.R. Western Division",373,450,373,415,393,369
" ","Blarney, Cork City Division",39,33,22,19,13,16
" ","Blessington, Wicklow Division",36,60,83,22,26,26
" ","Boherbue, Cork West Division",5,3,2,4,3,3
" ","Bonniconlon, Mayo Division",0,0,1,1,4,0
" ","Borris, Kilkenny/Carlow Division",5,5,0,9,4,6
" ","Borris-In-Ossory, Laois/Offaly Division",1,3,4,1,0,0
" ","Borrisokane, Tipperary Division",7,8,4,3,2,3
