"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Freshford, Kilkenny/Carlow Division",1,0,6,1,5,5
" ","Gaillimh, Galway Division",387,359,322,340,315,238
" ","Garristown, D.M.R. Northern Division",2,2,3,5,2,2
" ","Glanmire, Cork City Division",34,25,22,25,41,18
" ","Glantaine, Cork North Division",3,3,1,3,1,3
" ","Glasson, Westmeath Division",2,5,3,4,5,3
" ","Gleann na Muaidhe, Mayo Division",5,8,4,8,3,3
" ","Glenamaddy, Galway Division",7,5,3,2,7,8
" ","Glenbeigh, Kerry Division",6,3,6,5,5,2
" ","Glengarriff, Cork West Division",2,5,3,1,1,3
" ","Glenmore, Kilkenny/Carlow Division",1,1,1,3,3,0
" ","Glin, Limerick Division",1,1,8,3,2,6
" ","Glynn, Wexford Division",0,6,2,7,7,4
" ","Gob an Choire, Mayo Division",10,1,3,7,12,6
" ","Golden, Tipperary Division",2,1,4,0,5,2
" ","Goresbridge, Kilkenny/Carlow Division",4,1,6,10,5,2
" ","Gorey, Wexford Division",57,54,56,52,60,42
" ","Gort, Galway Division",28,28,11,14,11,18
" ","Graiguenamanagh, Kilkenny/Carlow Division",11,11,10,7,7,3
" ","Granard, Roscommon/Longford Division",13,10,22,22,9,11
" ","Grange, Sligo/Leitrim Division",6,2,7,7,3,2
" ","Greystones, Wicklow Division",59,43,52,52,74,55
" ","Gurranabraher, Cork City Division",119,134,168,120,93,115
" ","Gurteen, Sligo/Leitrim Division",2,10,3,7,6,3
" ","Hackballscross, Louth Division",2,0,1,2,2,2
" ","Hacketstown, Kilkenny/Carlow Division",0,7,4,11,1,1
" ","Headford, Galway Division",7,4,4,9,6,10
" ","Henry Street, Limerick Division",231,243,286,260,240,223
" ","Holycross, Tipperary Division",1,5,2,0,5,2
" ","Hospital Co Limerick, Limerick Division",11,5,4,6,5,2
" ","Howth, D.M.R. Northern Division",32,47,36,35,31,24
" ","Indreabhain, Galway Division",8,4,10,11,3,7
" ","Innishannon, Cork West Division",5,3,3,0,3,3
" ","Irishtown, D.M.R. South Central Division",41,33,40,43,41,32
" ","Kanturk, Cork North Division",26,31,24,24,21,22
" ","Keadue, Roscommon/Longford Division",3,5,4,2,2,2
" ","Kealkil, Cork West Division",0,0,1,2,1,1
" ","Keel, Mayo Division",6,4,2,1,7,0
" ","Kells Ceanannus Mor, Meath Division",45,52,86,83,71,50
" ","Kenagh, Roscommon/Longford Division",6,2,9,5,4,6
" ","Kenmare, Kerry Division",16,14,13,17,19,9
" ","Kerrykeel, Donegal Division",12,8,3,8,3,6
" ","Kevin Street, D.M.R. South Central Division",194,171,188,196,175,160
" ","Kilbeggan, Westmeath Division",11,23,3,10,16,5
" ","Kilbrittain, Cork West Division",2,3,0,1,1,0
" ","Kilcock, Kildare Division",36,52,22,33,28,23
" ","Kilconnell, Galway Division",3,6,7,1,1,2
" ","Kilcormac, Laois/Offaly Division",17,4,12,8,5,6
" ","Kilcullen, Kildare Division",34,31,20,13,31,24
" ","Kildare, Kildare Division",56,58,63,47,37,42
" ","Kildorrery, Cork North Division",7,1,3,1,5,2
" ","Kildysart, Clare Division",4,1,3,1,5,2
" ","Kilkee, Clare Division",44,30,45,26,23,8
" ","Kilkelly, Mayo Division",6,2,6,7,5,3
" ","Kilkenny, Kilkenny/Carlow Division",221,228,260,220,137,181
" ","Kill, Co Waterford, Waterford Division",8,5,5,3,4,3
" ","Killala, Mayo Division",13,10,4,5,2,2
" ","Killaloe, Clare Division",23,34,35,24,22,26
" ","Killarney, Kerry Division",86,80,91,86,84,90
" ","Killeagh, Cork North Division",16,3,7,7,8,5
" ","Killenaule, Tipperary Division",5,12,4,14,6,9
" ","Killeshandra, Cavan/Monaghan Division",6,6,4,6,2,0
" ","Killimor, Galway Division",5,5,2,4,8,1
" ","Killorglin, Kerry Division",32,23,27,23,18,26
" ","Killucan, Westmeath Division",4,9,8,9,6,2
" ","Kilmacow, Kilkenny/Carlow Division",1,2,3,5,5,0
" ","Kilmacrennan, Donegal Division",13,20,13,18,17,8
" ","Kilmacthomas, Waterford Division",4,11,3,15,8,7
" ","Kilmaine, Mayo Division",3,2,3,2,2,1
" ","Kilmainham, D.M.R. South Central Division",178,193,193,194,151,123
" ","Kilmallock, Limerick Division",22,24,32,24,20,27
" ","Kilmeaden, Waterford Division",2,2,3,0,2,2
" ","Kilmoganny, Kilkenny/Carlow Division",5,1,0,2,4,3
" ","Kilmore Quay, Wexford Division",10,14,9,11,19,9
" ","Kilnaleck, Cavan/Monaghan Division",11,19,21,8,5,14
" ","Kilrickle, Galway Division",3,3,4,2,2,0
" ","Kilrush, Clare Division",42,63,43,38,25,24
" ","Kilsheelan, Tipperary Division",4,1,2,1,2,4
" ","Kiltimagh, Mayo Division",16,5,7,10,4,3
" ","Kiltormer, Galway Division",2,0,0,1,1,1
" ","Kilworth, Cork North Division",5,0,4,2,1,4
" ","Kingscourt, Cavan/Monaghan Division",16,19,21,19,14,16
" ","Kinlough, Sligo/Leitrim Division",9,8,5,6,14,8
" ","Kinnegad, Westmeath Division",29,18,15,20,18,7
" ","Kinnitty, Laois/Offaly Division",2,1,4,0,2,0
" ","Kinsale, Cork West Division",91,72,53,53,48,44
" ","Kinvara, Galway Division",5,4,1,0,2,3
" ","Knock, Mayo Division",5,2,4,3,0,1
" ","Knocknagoshel, Kerry Division",10,3,9,6,4,8
" ","Lanesboro, Roscommon/Longford Division",9,8,5,9,8,7
" ","Laytown, Meath Division",25,50,53,41,38,42
" ","Leach Seoirse, Galway Division",16,15,24,25,15,15
" ","Leamybrien, Waterford Division",4,5,5,7,2,5
" ","Leitir Mor, Galway Division",21,3,2,5,3,7
" ","Leixlip, Kildare Division",48,47,35,43,35,35
" ","Letterfrack, Galway Division",4,1,2,3,2,3
" ","Letterkenny, Donegal Division",323,233,179,247,225,208
" ","Lifford, Donegal Division",24,16,11,18,16,14
" ","Liscarroll, Cork North Division",2,1,3,3,6,4
" ","Lisdoonvarna, Clare Division",5,7,5,5,15,1
" ","Lismore, Waterford Division",7,13,14,4,11,10
" ","Lissycasey, Clare Division",8,4,4,11,7,4
" ","Listowel, Kerry Division",55,67,42,41,48,41
" ","Littleton, Tipperary Division",5,5,4,3,3,2
" ","Lixnaw, Kerry Division",3,8,6,4,8,7
" ","Longford, Roscommon/Longford Division",113,131,108,76,62,86
" ","Longwood, Meath Division",3,11,10,9,8,5
" ","Lorrha, Tipperary Division",2,3,0,0,2,2
" ","Loughrea, Galway Division",62,45,38,44,54,39
" ","Louisburgh, Mayo Division",8,3,2,3,4,5
" ","Louth, Louth Division",9,8,6,6,5,4
" ","Lucan, D.M.R. Western Division",81,62,61,78,93,59
" ","Lusk, D.M.R. Northern Division",57,37,38,32,24,36
" ","Macroom, Cork West Division",37,50,21,18,14,23
" ","Maigh Cuilinn, Galway Division",9,5,1,7,2,1
" ","Malahide, D.M.R. Northern Division",56,60,62,71,62,45
" ","Mallow, Cork North Division",81,86,77,58,72,62
" ","Manorhamilton, Sligo/Leitrim Division",11,15,13,4,8,8
" ","Mayfield, Cork City Division",64,50,48,44,59,65
" ","Maynooth, Kildare Division",53,42,52,61,75,48
" ","Mayorstone Park, Limerick Division",165,160,194,135,140,120
" ","Midleton, Cork North Division",52,38,36,38,37,31
" ","Milford, Co Cork, Cork North Division",5,3,4,4,1,4
" ","Milford, Co Donegal, Donegal Division",23,10,13,12,10,13
" ","Millstreet, Co. Cork, Cork West Division",5,15,18,19,18,17
" ","Milltown, Galway Division",1,2,1,2,2,0
" ","Miltown Malbay, Clare Division",12,10,8,24,8,5
" ","Mitchelstown, Cork North Division",27,24,12,12,26,26
" ","Moate, Westmeath Division",8,10,17,7,13,7
" ","Mohill, Sligo/Leitrim Division",18,26,14,15,6,10
" ","Monaghan, Cavan/Monaghan Division",144,87,170,144,103,65
" ","Monasterevin, Kildare Division",36,28,27,17,20,29
